fira-sans-extra-condensed;Fira Sans Extra Condensed;100;latin
gothic-a1;Gothic A1;100;latin
heebo;Heebo;100;latin
ibm-plex-mono;IBM Plex Mono;100;latin
ibm-plex-sans;IBM Plex Sans;100;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;100;latin
ibm-plex-serif;IBM Plex Serif;100;latin
josefin-sans;Josefin Sans;100;latin
josefin-slab;Josefin Slab;100;latin
k2d;K2D;100;latin
kanit;Kanit;100;latin
kanit;Kanit;100;thai
kanit;Kanit;100;thai_latin
kanit;Kanit;100;thai_latin-ext_latin_vietnamese
lato;Lato;100;latin
libre-franklin;Libre Franklin;100;latin
londrina-solid;Londrina Solid;100;latin
m-plus-1p;M PLUS 1p;100;latin
m-plus-1p;M PLUS 1p;100;latin
m-plus-rounded-1c;M PLUS Rounded 1c;100;latin
montserrat;Montserrat;100;latin
montserrat-alternates;Montserrat Alternates;100;latin
noto-sans-jp;Noto Sans JP;100;japanese_latin
noto-sans-kr;Noto Sans KR;100;latin_korean
overpass;Overpass;100;latin
palanquin;Palanquin;100;latin
poppins;Poppins;100;latin
prompt;Prompt;100;latin
raleway;Raleway;100;latin
roboto-mono;Roboto Mono;100;latin
roboto-slab;Roboto Slab;100;latin
rokkitt;Rokkitt;100;latin
saira;Saira;100;latin
saira-condensed;Saira Condensed;100;latin
saira-extra-condensed;Saira Extra Condensed;100;latin
saira-semi-condensed;Saira Semi Condensed;100;latin
trirong;Trirong;100;latin
work-sans;Work Sans;100;latin
yantramanav;Yantramanav;100;latin
alegreya-sans;Alegreya Sans;100italic;latin
alegreya-sans-sc;Alegreya Sans SC;100italic;latin
barlow;Barlow;100italic;latin
barlow-condensed;Barlow Condensed;100italic;latin
barlow-condensed;Barlow Condensed;100italic;latin
barlow-semi-condensed;Barlow Semi Condensed;100italic;latin
exo;Exo;100italic;latin
exo-2;Exo 2;100italic;latin
fira-sans;Fira Sans;100italic;latin
fira-sans-condensed;Fira Sans Condensed;100italic;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;100italic;latin
ibm-plex-mono;IBM Plex Mono;100italic;latin
ibm-plex-sans;IBM Plex Sans;100italic;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;100italic;latin
ibm-plex-serif;IBM Plex Serif;100italic;latin
josefin-sans;Josefin Sans;100italic;latin
josefin-slab;Josefin Slab;100italic;latin
k2d;K2D;100italic;latin
kanit;Kanit;100italic;latin
kanit;Kanit;100italic;thai
kanit;Kanit;100italic;thai_latin
kanit;Kanit;100italic;thai_latin-ext_latin_vietnamese
lato;Lato;100italic;latin
libre-franklin;Libre Franklin;100italic;latin
montserrat;Montserrat;100italic;latin
montserrat-alternates;Montserrat Alternates;100italic;latin
overpass;Overpass;100italic;latin
poppins;Poppins;100italic;latin
prompt;Prompt;100italic;latin
raleway;Raleway;100italic;latin
roboto;Roboto;100italic;latin
roboto;Roboto;100italic;vietnamese
roboto;Roboto;100italic;cyrillic-ext_cyrillic
roboto;Roboto;100italic;latin-ext
roboto;Roboto;100italic;greek_greek-ext
roboto-mono;Roboto Mono;100italic;latin
trirong;Trirong;100italic;latin
advent-pro;Advent Pro;200;latin
arima-madurai;Arima Madurai;200;latin
assistant;Assistant;200;latin
athiti;Athiti;200;latin
bai-jamjuree;Bai Jamjuree;200;latin
barlow;Barlow;200;latin
barlow-condensed;Barlow Condensed;200;latin
barlow-condensed;Barlow Condensed;200;latin
barlow-semi-condensed;Barlow Semi Condensed;200;latin
biorhyme;BioRhyme;200;latin
biorhyme-expanded;BioRhyme Expanded;200;latin
biryani;Biryani;200;latin
cairo;Cairo;200;latin
catamaran;Catamaran;200;latin
changa;Changa;200;latin
dosis;Dosis;200;latin
encode-sans;Encode Sans;200;latin
encode-sans-condensed;Encode Sans Condensed;200;latin
encode-sans-expanded;Encode Sans Expanded;200;latin
encode-sans-semi-condensed;Encode Sans Semi Condensed;200;latin
encode-sans-semi-expanded;Encode Sans Semi Expanded;200;latin
exo;Exo;200;latin
exo-2;Exo 2;200;latin
fahkwang;Fahkwang;200;latin
fira-sans;Fira Sans;200;latin
fira-sans-condensed;Fira Sans Condensed;200;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;200;latin
gothic-a2;Gothic A2;200;latin
ibm-plex-mono;IBM Plex Mono;200;latin
ibm-plex-sans;IBM Plex Sans;200;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;200;latin
ibm-plex-serif;IBM Plex Serif;200;latin
k2d;K2D;200;latin
kanit;Kanit;200;latin
kanit;Kanit;200;thai
kanit;Kanit;200;thai_latin
kanit;Kanit;200;thai_latin-ext_latin_vietnamese
kodchasan;Kodchasan;200;latin
koho;KoHo;200;latin
krub;Krub;200;latin
libre-franklin;Libre Franklin;200;latin
mada;Mada;200;latin
maitree;Maitree;200;latin
mali;Mali;200;latin
martel-sans;Martel Sans;200;latin
mitr;Mitr;200;latin
montserrat;Montserrat;200;latin
montserrat-alternates;Montserrat Alternates;200;latin
mukta;Mukta;200;latin-ext_latin_devanagari
mukta-mahee;Mukta Mahee;200;gurmukhi_latin-ext_latin
mukta-malar;Mukta Malar;200;latin-ext_tamil_latin
mukta-vaani;Mukta Vaani;200;latin-ext_latin_gujarati
mukta;Mukta;200;latin
mukta-mahee;Mukta Mahee;200;latin
mukta-malar;Mukta Malar;200;latin
mukta-vaani;Mukta Vaani;200;latin
muli;Muli;200;latin
neuton;Neuton;200;latin
niramit;Niramit;200;latin
noto-serif-jp;Noto Serif JP;200;japanese_latin
noto-serif-kr;Noto Serif KR;200;latin_korean
nunito;Nunito;200;latin
nunito-sans;Nunito Sans;200;latin
oswald;Oswald;200;latin
overpass;Overpass;200;latin
palanquin;Palanquin;200;latin
poppins;Poppins;200;latin
pridi;Pridi;200;latin
prompt;Prompt;200;latin
raleway;Raleway;200;latin
rokkitt;Rokkitt;200;latin
saira;Saira;200;latin
